journal	year	n_articles
Bioinformatics (Oxford, England)	2009	6
Bioinformatics (Oxford, England)	2010	6
Bioinformatics (Oxford, England)	2011	25
Bioinformatics (Oxford, England)	2012	31
Bioinformatics (Oxford, England)	2013	39
Bioinformatics (Oxford, England)	2014	50
Bioinformatics (Oxford, England)	2015	51
Bioinformatics (Oxford, England)	2016	42
Bioinformatics (Oxford, England)	2017	57
Bioinformatics (Oxford, England)	2018	71
Bioinformatics (Oxford, England)	2019	80
Bioinformatics (Oxford, England)	2020	107
Bioinformatics (Oxford, England)	2021	96
Bioinformatics (Oxford, England)	2022	89
Bioinformatics (Oxford, England)	2023	66
Bioinformatics (Oxford, England)	2024	66
Bioinformatics (Oxford, England)	2025	59
Briefings in bioinformatics	2010	1
Briefings in bioinformatics	2011	1
Briefings in bioinformatics	2013	4
Briefings in bioinformatics	2014	2
Briefings in bioinformatics	2015	6
Briefings in bioinformatics	2016	8
Briefings in bioinformatics	2017	9
Briefings in bioinformatics	2018	16
Briefings in bioinformatics	2019	17
Briefings in bioinformatics	2020	18
Briefings in bioinformatics	2021	94
Briefings in bioinformatics	2022	80
Briefings in bioinformatics	2023	90
Briefings in bioinformatics	2024	112
Briefings in bioinformatics	2025	82
Genome biology	2008	2
Genome biology	2009	1
Genome biology	2010	14
Genome biology	2011	12
Genome biology	2012	12
Genome biology	2013	19
Genome biology	2014	37
Genome biology	2015	34
Genome biology	2016	40
Genome biology	2017	32
Genome biology	2018	40
Genome biology	2019	45
Genome biology	2020	51
Genome biology	2021	64
Genome biology	2022	46
Genome biology	2023	53
Genome biology	2024	56
Genome biology	2025	58
Genome research	2008	1
Genome research	2009	2
Genome research	2010	10
Genome research	2011	18
Genome research	2012	31
Genome research	2013	14
Genome research	2014	24
Genome research	2015	16
Genome research	2016	14
Genome research	2017	25
Genome research	2018	25
Genome research	2019	18
Genome research	2020	31
Genome research	2021	33
Genome research	2022	19
Genome research	2023	20
Genome research	2024	22
Genome research	2025	40
Nature biotechnology	2010	4
Nature biotechnology	2011	5
Nature biotechnology	2012	3
Nature biotechnology	2013	4
Nature biotechnology	2014	15
Nature biotechnology	2015	7
Nature biotechnology	2016	12
Nature biotechnology	2017	5
Nature biotechnology	2018	13
Nature biotechnology	2019	11
Nature biotechnology	2020	18
Nature biotechnology	2021	19
Nature biotechnology	2022	23
Nature biotechnology	2023	14
Nature biotechnology	2024	20
Nature biotechnology	2025	16
Nature methods	2008	2
Nature methods	2009	1
Nature methods	2010	5
Nature methods	2011	2
Nature methods	2013	7
Nature methods	2014	7
Nature methods	2015	12
Nature methods	2016	4
Nature methods	2017	19
Nature methods	2018	17
Nature methods	2019	17
Nature methods	2020	10
Nature methods	2021	8
Nature methods	2022	16
Nature methods	2023	21
Nature methods	2024	16
Nature methods	2025	25
Nucleic acids research	2004	1
Nucleic acids research	2009	5
Nucleic acids research	2010	15
Nucleic acids research	2011	17
Nucleic acids research	2012	36
Nucleic acids research	2013	37
Nucleic acids research	2014	62
Nucleic acids research	2015	63
Nucleic acids research	2016	63
Nucleic acids research	2017	86
Nucleic acids research	2018	72
Nucleic acids research	2019	72
Nucleic acids research	2020	64
Nucleic acids research	2021	78
Nucleic acids research	2022	98
Nucleic acids research	2023	67
Nucleic acids research	2024	68
Nucleic acids research	2025	120
PLoS computational biology	2009	1
PLoS computational biology	2010	1
PLoS computational biology	2011	2
PLoS computational biology	2012	4
PLoS computational biology	2013	3
PLoS computational biology	2014	11
PLoS computational biology	2015	10
PLoS computational biology	2016	6
PLoS computational biology	2017	7
PLoS computational biology	2018	11
PLoS computational biology	2019	19
PLoS computational biology	2020	26
PLoS computational biology	2021	33
PLoS computational biology	2022	38
PLoS computational biology	2023	14
PLoS computational biology	2024	31
PLoS computational biology	2025	38
